,Unnamed: 0,url,title,site,pagesize,lan_code,lan_full
90,90,https://pl.wikipedia.org/wiki/Punkty%20krytyczne%20w%20ziemskim%20systemie%20klimatycznym,Punkty krytyczne w ziemskim systemie klimatycznym,pl.wikipedia.org,8063.0,pl,Polish
91,91,https://zh.wikipedia.org/wiki/%E6%B0%94%E5%80%99%E4%B8%B4%E7%95%8C%E7%82%B9,气候临界点,zh.wikipedia.org,9279.0,zh,Chinese
92,92,https://ar.wikipedia.org/wiki/%D9%86%D9%82%D8%A7%D8%B7%20%D8%A7%D9%84%D8%AA%D8%AD%D9%88%D9%84%20%D9%81%D9%8A%20%D8%A7%D9%84%D9%86%D8%B8%D8%A7%D9%85%20%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE%D9%8A,نقاط التحول في النظام المناخي,ar.wikipedia.org,20524.0,ar,Arabic
93,93,https://sv.wikipedia.org/wiki/Tippningspunkt,Tippningspunkt,sv.wikipedia.org,5031.0,sv,Swedish
94,94,https://el.wikipedia.org/wiki/%CE%A3%CE%B7%CE%BC%CE%B5%CE%AF%CE%B1%20%CE%BA%CE%B1%CE%BC%CF%80%CE%AE%CF%82%20%CF%83%CF%84%CE%BF%20%CE%BA%CE%BB%CE%B9%CE%BC%CE%B1%CF%84%CE%B9%CE%BA%CF%8C%20%CF%83%CF%8D%CF%83%CF%84%CE%B7%CE%BC%CE%B1,Σημεία καμπής στο κλιματικό σύστημα,el.wikipedia.org,61881.0,el,Greek
95,95,https://hu.wikipedia.org/wiki/Glob%C3%A1lis%20%C3%A9ghajlati%20fordul%C3%B3pont,Globális éghajlati fordulópont,hu.wikipedia.org,1982.0,hu,Hungarian
96,96,https://nl.wikipedia.org/wiki/Kantelpunten%20in%20het%20klimaat,Kantelpunten in het klimaat,nl.wikipedia.org,6323.0,nl,Dutch
97,97,https://fi.wikipedia.org/wiki/Ilmaston%20keikahduspisteet,Ilmaston keikahduspisteet,fi.wikipedia.org,15107.0,fi,Finnish
98,98,https://no.wikipedia.org/wiki/Vippepunkt%20%28klima%29,Vippepunkt (klima),no.wikipedia.org,94914.0,no,Norwegian
99,99,https://en.wikipedia.org/wiki/Yola%20Mgogwana,Yola Mgogwana,en.wikipedia.org,8738.0,en,English
100,100,https://es.wikipedia.org/wiki/Yola%20Mgogwana,Yola Mgogwana,es.wikipedia.org,6296.0,es,Spanish
101,101,https://fr.wikipedia.org/wiki/Yola%20Mgogwana,Yola Mgogwana,fr.wikipedia.org,7652.0,fr,French
102,102,https://hi.wikipedia.org/wiki/%E0%A4%AF%E0%A5%8B%E0%A4%B2%E0%A4%BE%20%E0%A4%AE%E0%A4%BE%E0%A4%97%E0%A5%8B%E0%A4%97%E0%A4%B5%E0%A4%BE%E0%A4%A8%E0%A4%BE,योला मागोगवाना,hi.wikipedia.org,11182.0,hi,Hindi
103,103,https://uk.wikipedia.org/wiki/%D0%99%D0%BE%D0%BB%D0%B0%20%D0%9C%D0%B3%D0%BE%D0%B3%D0%B2%D0%B0%D0%BD%D0%B0,Йола Мгогвана,uk.wikipedia.org,10789.0,uk,Ukrainian
104,104,https://en.wikipedia.org/wiki/Olumide%20Idowu,Olumide Idowu,en.wikipedia.org,10880.0,en,English
105,105,https://fr.wikipedia.org/wiki/Olumide%20Idowu,Olumide Idowu,fr.wikipedia.org,10111.0,fr,French
